Loc1Key,Loc1Lat,Loc1Lon,BestCMI,BestKey,BestLat,BestLon
65534,-39.575,176.575,0.835776,27190,47.3,-1.3
65535,-39.575,176.625,0.83673,27190,47.3,-1.3
65536,-39.575,176.675,0.851365,27190,47.3,-1.3
65537,-39.575,176.725,0.862993,27190,47.3,-1.3
65538,-39.575,176.775,0.871731,27190,47.3,-1.3
65539,-39.575,176.825,0.881531,27190,47.3,-1.3
65540,-39.575,176.875,0.877651,27190,47.3,-1.3
65541,-39.575,176.925,0.877728,27190,47.3,-1.3
65542,-39.625,174.325,0.838571,27686,48.3,-4.3
65543,-39.625,174.375,0.823787,27686,48.3,-4.3
65544,-39.625,174.425,0.813075,27686,48.3,-4.3
65545,-39.625,174.475,0.797299,27016,51.8,-4.3
65546,-39.625,174.525,0.807161,27016,51.8,-4.3
65547,-39.625,174.575,0.799153,27016,51.8,-4.3
65548,-39.625,174.625,0.770065,27016,51.8,-4.3
65549,-39.625,174.675,0.797423,27016,51.8,-4.3
65550,-39.625,174.725,0.819455,27016,51.8,-4.3
65551,-39.625,174.775,0.803581,27016,51.8,-4.3
65552,-39.625,174.825,0.767983,27016,51.8,-4.3
65553,-39.625,174.875,0.808925,27016,51.8,-4.3
65554,-39.625,174.925,0.780495,27016,51.8,-4.3
65555,-39.625,174.975,0.802037,27016,51.8,-4.3
65556,-39.625,175.025,0.784395,27016,51.8,-4.3
65557,-39.625,175.075,0.812276,27016,51.8,-4.3
65558,-39.625,175.125,0.812083,27016,51.8,-4.3
65559,-39.625,175.175,0.785876,27686,48.3,-4.3
65560,-39.625,175.225,0.818743,28589,53.3,-4.3
65561,-39.625,175.275,0.833241,28589,53.3,-4.3
65562,-39.625,175.325,0.834436,27686,48.3,-4.3
65563,-39.625,175.375,0.854744,27686,48.3,-4.3
65564,-39.625,175.425,0.840653,27686,48.3,-4.3
65565,-39.625,175.475,0.846639,27686,48.3,-4.3
65566,-39.625,175.525,0.855808,27686,48.3,-4.3
65567,-39.625,175.575,0.854394,27686,48.3,-4.3
65568,-39.625,175.625,0.856621,27686,48.3,-4.3
65569,-39.625,175.675,0.847789,27686,48.3,-4.3
65570,-39.625,175.725,0.854304,28097,50.8,-2.3
65571,-39.625,175.775,0.868537,28097,50.8,-2.3
65572,-39.625,175.825,0.89014,28097,50.8,-2.3
65573,-39.625,175.875,0.890648,28122,50.8,3.8
65574,-39.625,175.925,0.892983,28122,50.8,3.8
65575,-39.625,175.975,0.883452,28097,50.8,-2.3
65576,-39.625,176.025,0.870274,26916,47.8,5.8
65577,-39.625,176.075,0.875994,28417,53.8,-2.3
65578,-39.625,176.125,0.832917,27016,51.8,-4.3
65579,-39.625,176.175,0.816495,27016,51.8,-4.3
65580,-39.625,176.225,0.783862,27016,51.8,-4.3
65581,-39.625,176.275,0.804887,,,
65582,-39.625,176.325,0.815203,27016,51.8,-4.3
65583,-39.625,176.375,0.820105,28589,53.3,-4.3
65584,-39.625,176.425,0.82588,27686,48.3,-4.3
65585,-39.625,176.475,0.853662,26771,45.3,4.8
65586,-39.625,176.525,0.850649,27190,47.3,-1.3
65587,-39.625,176.575,0.862204,27190,47.3,-1.3
65588,-39.625,176.625,0.866319,27190,47.3,-1.3
65589,-39.625,176.675,0.869611,27190,47.3,-1.3
65590,-39.625,176.725,0.887304,27190,47.3,-1.3
65591,-39.625,176.775,0.883607,27190,47.3,-1.3
65592,-39.625,176.825,0.877363,27190,47.3,-1.3
65593,-39.625,176.875,0.879206,27190,47.3,-1.3
65594,-39.625,176.925,0.884007,27190,47.3,-1.3
65595,-39.675,174.375,0.834343,27686,48.3,-4.3
65596,-39.675,174.425,0.821086,27686,48.3,-4.3
65597,-39.675,174.475,0.806542,27686,48.3,-4.3
65598,-39.675,174.525,0.793453,27686,48.3,-4.3
65599,-39.675,174.575,0.789577,27016,51.8,-4.3
65600,-39.675,174.625,0.814253,27016,51.8,-4.3
65601,-39.675,174.675,0.799581,27016,51.8,-4.3
65602,-39.675,174.725,0.785212,27686,48.3,-4.3
65603,-39.675,174.775,0.783067,27016,51.8,-4.3
65604,-39.675,174.825,0.798139,27016,51.8,-4.3
65605,-39.675,174.875,0.761031,27016,51.8,-4.3
65606,-39.675,174.925,0.775924,27016,51.8,-4.3
65607,-39.675,174.975,0.810427,27016,51.8,-4.3
65608,-39.675,175.025,0.793782,27016,51.8,-4.3
65609,-39.675,175.075,0.783299,27686,48.3,-4.3
65610,-39.675,175.125,0.818832,28589,53.3,-4.3
65611,-39.675,175.175,0.813286,28589,53.3,-4.3
65612,-39.675,175.225,0.836288,28589,53.3,-4.3
65613,-39.675,175.275,0.836814,28589,53.3,-4.3
65614,-39.675,175.325,0.830198,27686,48.3,-4.3
65615,-39.675,175.375,0.849073,27686,48.3,-4.3
65616,-39.675,175.425,0.824009,27686,48.3,-4.3
65617,-39.675,175.475,0.843834,27686,48.3,-4.3
65618,-39.675,175.525,0.844502,27686,48.3,-4.3
65619,-39.675,175.575,0.846816,27686,48.3,-4.3
65620,-39.675,175.625,0.843393,27686,48.3,-4.3
65621,-39.675,175.675,0.842559,28097,50.8,-2.3
65622,-39.675,175.725,0.855441,28097,50.8,-2.3
65623,-39.675,175.775,0.870935,26916,47.8,5.8
65624,-39.675,175.825,0.888299,28097,50.8,-2.3
65625,-39.675,175.875,0.888424,28122,50.8,3.8
65626,-39.675,175.925,0.881465,28122,50.8,3.8
65627,-39.675,175.975,0.892636,28097,50.8,-2.3
65628,-39.675,176.025,0.85035,26916,47.8,5.8
65629,-39.675,176.075,0.841171,27016,51.8,-4.3
65630,-39.675,176.125,0.812215,27016,51.8,-4.3
65631,-39.675,176.175,0.801526,,,
65632,-39.675,176.225,0.80423,,,
65633,-39.675,176.275,0.789498,,,
65634,-39.675,176.325,0.803335,27016,51.8,-4.3
65635,-39.675,176.375,0.84635,28589,53.3,-4.3
65636,-39.675,176.425,0.824533,28589,53.3,-4.3
65637,-39.675,176.475,0.828786,26771,45.3,4.8
65638,-39.675,176.525,0.850207,28099,50.8,-2.8
65639,-39.675,176.575,0.874896,27190,47.3,-1.3
65640,-39.675,176.625,0.885762,27190,47.3,-1.3
65641,-39.675,176.675,0.889101,27190,47.3,-1.3
65642,-39.675,176.725,0.877638,27190,47.3,-1.3
65643,-39.675,176.775,0.878306,27190,47.3,-1.3
65644,-39.675,176.825,0.877695,27190,47.3,-1.3
65645,-39.675,176.875,0.886226,27190,47.3,-1.3
65646,-39.675,176.925,0.871803,27190,47.3,-1.3
65647,-39.675,176.975,0.873675,27190,47.3,-1.3
65648,-39.675,177.025,0.882289,27190,47.3,-1.3
65649,-39.675,177.075,0.860915,27190,47.3,-1.3
65650,-39.725,174.425,0.834791,27686,48.3,-4.3
65651,-39.725,174.475,0.818275,27686,48.3,-4.3
65652,-39.725,174.525,0.812523,27686,48.3,-4.3
65653,-39.725,174.575,0.79797,27686,48.3,-4.3
65654,-39.725,174.625,0.803739,27686,48.3,-4.3
65655,-39.725,174.675,0.804188,27686,48.3,-4.3
